"                                                                                     ENDEREÇO","            CIDADE","                        SEDE","          SETOR","","","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR",""
"","","","","","","","","","           MARÇO 2025 ","","          ABRIL  2025","","             MAIO  2025","","              JUNHO  2025","","            JULHO  2025","","         AGOSTO  2025","","   SETEMBRO  2025","","    OUTUBRO  2025","","   NOVENBRO  2025","","    DEZEMBRO  2025","","       JANEIRO 2026","","   FEVEREIRO  2026","","","",""
"","","","","","             SEA","","","","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","PTO/BCO","COLOR","","",""
"Rua Coronel Fagundes, 100 - Edifício Dr. Ary Dalazem - Sala 30 - 7° Andar - CEP: 89560-156","VIDEIRA","SEA - DSAS - VIDEIRA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0156","59","0","38","0","54","0","22","0","87","0","62","0","33","0","45","0","31","0","40","0","70","0","18","0","","",""
"Rua Braz Wanka, 238 – Vila Nova – CEP: 89035-160","BLUMENAU","SEA - DSAS - BLUMENAU","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0134","61","0","54","0","176","0","185","0","231","0","144","0","101","0","172","0","92","0","95","0","142","0","77","0","","","P"
"Rua Marechal Deodoro, 1000 - Sala 504 – Centro - CEP: 89700-055","CONCORDIA","SEA - DSAS - CONCORDIA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0138","96","0","102","0","148","0","228","0","125","0","180","0","115","0","278","0","137","0","172","0","136","0","271","0","","","E"
"sem endereço em processo de mudança","BRUSQUE","SEA - DSAS - BRUSQUE","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0135","1","0","180","0","7","0","41","0","37","0","40","0","179","0","82","0","37","0","43","0","229","0","612","0","","","R"
"Rua Umbelino Damásio de Brito, 184 – Vila Operária – CEP: 88303-050","ITAJAI","SEA - SEA - DSAS ITAJAI","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC0144","422","0","229","0","462","0","490","0","490","0","342","0","570","0","474","0","291","0","265","0","436","0","290","0","","","I"
"Rua Alexandre Schlemm, n° 343 - Bucarein - CEP: 89202-414 ","JOINVILLE","SEA - JOINVILLE - PERICIA","PERICIA","Tipo 02","Impressão Mono","Ricoh IM 430F","MULTIFUNCIONAL MONO RICOH IM 430F","TPSC6517","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1600","0","16","0","18","0","49","0","/ 12 ","MEDIA","C"
"","","","","","","","","PTO/BCO","2727","","2512","","3435","","2855","","2993","","3486","","3854","","3330","","3647","","1834","","2612","","3273","","36,558","3,046","I"
"","","","","","","","","COLOR","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","0","0","A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","CONSUMO TECPRINTERS  ANUAL  SECRETARIA DE ESTADO DA ADMINISTRAÇÃO","","","","","","","","","","","","","","","","","","","","","","","","TOTAL","MEDIA",""
"","","","","","","","","PTO/BCO","16312","","14799","","16042","","15098","","16268","","19595","","18261","","19278","","14605","","15603","","16421","","16220","","198,828","16,569",""
"","","","","","","","","COLOR","","4936","","5201","","8854","","5528","","5388","","11749","","8069","","7311","","5259","","6548","","5928","","6313","81,084","6,757",""
